Variable_name	Value
log_slow_admin_statements	ON
log_slow_disabled_statements	sp
log_slow_filter	admin,filesort,filesort_on_disk,filesort_priority_queue,full_join,full_scan,query_cache,query_cache_miss,tmp_table,tmp_table_on_disk
log_slow_max_warnings	10
log_slow_min_examined_row_limit	0
log_slow_query	ON
log_slow_query_file	MacBook-Pro-Arttu-slow.log
log_slow_query_time	10.000000
log_slow_rate_limit	1
log_slow_slave_statements	ON
log_slow_verbosity	
slow_launch_time	2
slow_query_log	ON
slow_query_log_file	MacBook-Pro-Arttu-slow.log
74971	Häkkinen-Rojola	Terhi
76212	Rojola	Terhi
79318	Rojola	Terhi
81227	Rojola	Terhi
81975	Rojola	Terhi
87081	Rojola	Terhi
88357	Rojola	Terhi
89019	Rojola	Terhi
91841	Rojola	Terhi
92299	Rojola	Terhi
97570	Rojola	Terhi
97630	Rojola	Terhi
99720	Rojola	Terhi
99753	Rojola	Terhi
107288	Rojola-Uutela	Terhi
110170	Rojola	Terhi
111197	Rojola	Terhi
111640	Wuotila-Rojola	Terhi
114982	Rojola	Terhi
115272	Rojola	Terhi
115298	Rojola	Terhi
115935	Rojola	Terhi
117692	Rojola	Terhi
123204	Rojola	Terhi
124259	Mottisenkangas-Rojola	Terhi
125850	Rojola	Terhi
126623	Rojola	Terhi
126819	Stepanov-Rojola	Terhi
129695	Rojola	Terhi
131459	Rojola	Terhi
132236	Rojola	Terhi
132745	Rojola	Terhi
135215	Rojola	Terhi
135299	Paavola-Rojola	Terhi
135519	Rojola	Terhi
136156	Rojola	Terhi
136834	Rojola	Terhi
136990	Rojola	Terhi
137027	Rojola	Terhi
146857	Rojola	Terhi
149258	Rojola	Terhi
149415	Rojola-Ruottinen	Terhi
152450	Rojola	Terhi
152539	Kohonen-Rojola	Terhi
152750	Rojola	Terhi
154835	Rojola	Terhi
155465	Rojola	Terhi
158957	Rojola	Terhi
159208	Rojola	Terhi
160085	Rojola-Kähkönen	Terhi
163554	Rojola	Terhi
164153	Rojola	Terhi
164918	Vanninen-Rojola	Terhi
168449	Rojola	Terhi
172311	Rojola	Terhi
173258	Rojola	Terhi
174364	Rojola	Terhi
175094	Rojola	Terhi
175253	Rojola	Terhi
176917	Rojola	Terhi
177825	Rojola	Terhi
178222	Rojola	Terhi
179838	Rojola	Terhi
180744	Rojola	Terhi
182603	Rojola	Terhi
183368	Rojola	Terhi
184592	Mynttinen-Rojola	Terhi
185206	Rojola	Terhi
186419	Rojola	Terhi
187117	Rojola	Terhi
190421	Rojola	Terhi
191298	Rojola	Terhi
193437	Rojola	Terhi
196979	Rojola	Terhi
197621	Rojola	Terhi
198720	Rojola	Terhi
199632	Rojola	Terhi
3	Rojola	Aira
206	Rojola	Aira
1179	Rojola-Heinonen	Aira
1866	Rojola	Aira
5376	Rojola	Aira
5443	Rojola	Aira
5607	Rojola	Aira
6469	Rojola	Aira
7294	Rojola	Aira
9461	Rojola	Aira
9671	Rojola	Aira
10094	Rojola	Aira
11413	Rojola	Aira
11738	Rojola	Aira
12244	Rojola	Aira
13047	Rojola	Aira
15476	Rojola	Aira
18407	Rojola	Aira
24044	Rojola	Aira
24066	Rojola	Aira
26509	Rojola-Auvinen	Aira
28292	Rojola	Aira
30320	Rojola	Aira
32094	Rojola	Aira
37119	Rojola	Aira
39437	Rojola	Aira
40270	Rojola	Aira
40600	Rojola	Aira
42541	Rojola	Aira
43285	Rojola	Aira
45918	Laitamo-Rojola	Aira
46519	Rojola	Aira
47522	Rojola	Aira
48664	Rojola	Aira
50163	Rojola	Aira
51065	Rojola	Aira
53432	Rojola	Aira
55375	Rojola	Aira
55736	Ollikainen-Rojola	Aira
56196	Rojola	Aira
61538	Rojola	Aira
64254	Rojola	Aira
66363	Rojola	Aira
66979	Rojola-Rajala	Aira
68219	Rojola	Aira
71215	Rojola	Aira
71733	Rojola	Aira
74971	Häkkinen-Rojola	Aira
76212	Rojola	Aira
79318	Rojola	Aira
81227	Rojola	Aira
81975	Rojola	Aira
87081	Rojola	Aira
88357	Rojola	Aira
89019	Rojola	Aira
91841	Rojola	Aira
92299	Rojola	Aira
97570	Rojola	Aira
97630	Rojola	Aira
99720	Rojola	Aira
99753	Rojola	Aira
107288	Rojola-Uutela	Aira
110170	Rojola	Aira
111197	Rojola	Aira
111640	Wuotila-Rojola	Aira
114982	Rojola	Aira
115272	Rojola	Aira
115298	Rojola	Aira
115935	Rojola	Aira
117692	Rojola	Aira
123204	Rojola	Aira
124259	Mottisenkangas-Rojola	Aira
125850	Rojola	Aira
126623	Rojola	Aira
126819	Stepanov-Rojola	Aira
129695	Rojola	Aira
131459	Rojola	Aira
132236	Rojola	Aira
132745	Rojola	Aira
135215	Rojola	Aira
135299	Paavola-Rojola	Aira
135519	Rojola	Aira
136156	Rojola	Aira
136834	Rojola	Aira
136990	Rojola	Aira
137027	Rojola	Aira
146857	Rojola	Aira
149258	Rojola	Aira
149415	Rojola-Ruottinen	Aira
152450	Rojola	Aira
152539	Kohonen-Rojola	Aira
152750	Rojola	Aira
154835	Rojola	Aira
155465	Rojola	Aira
158957	Rojola	Aira
159208	Rojola	Aira
160085	Rojola-Kähkönen	Aira
163554	Rojola	Aira
164153	Rojola	Aira
164918	Vanninen-Rojola	Aira
168449	Rojola	Aira
172311	Rojola	Aira
173258	Rojola	Aira
174364	Rojola	Aira
175094	Rojola	Aira
175253	Rojola	Aira
176917	Rojola	Aira
177825	Rojola	Aira
178222	Rojola	Aira
179838	Rojola	Aira
180744	Rojola	Aira
182603	Rojola	Aira
183368	Rojola	Aira
184592	Mynttinen-Rojola	Aira
185206	Rojola	Aira
186419	Rojola	Aira
187117	Rojola	Aira
190421	Rojola	Aira
191298	Rojola	Aira
193437	Rojola	Aira
196979	Rojola	Aira
197621	Rojola	Aira
198720	Rojola	Aira
199632	Rojola	Aira
3	Rojola	Juho
206	Rojola	Juho
1179	Rojola-Heinonen	Juho
1866	Rojola	Juho
5376	Rojola	Juho
5443	Rojola	Juho
5607	Rojola	Juho
6469	Rojola	Juho
7294	Rojola	Juho
9461	Rojola	Juho
9671	Rojola	Juho
10094	Rojola	Juho
11413	Rojola	Juho
11738	Rojola	Juho
12244	Rojola	Juho
13047	Rojola	Juho
15476	Rojola	Juho
18407	Rojola	Juho
24044	Rojola	Juho
24066	Rojola	Juho
26509	Rojola-Auvinen	Juho
28292	Rojola	Juho
30320	Rojola	Juho
32094	Rojola	Juho
37119	Rojola	Juho
39437	Rojola	Juho
40270	Rojola	Juho
40600	Rojola	Juho
42541	Rojola	Juho
43285	Rojola	Juho
45918	Laitamo-Rojola	Juho
46519	Rojola	Juho
47522	Rojola	Juho
48664	Rojola	Juho
50163	Rojola	Juho
51065	Rojola	Juho
53432	Rojola	Juho
55375	Rojola	Juho
55736	Ollikainen-Rojola	Juho
56196	Rojola	Juho
61538	Rojola	Juho
64254	Rojola	Juho
66363	Rojola	Juho
66979	Rojola-Rajala	Juho
68219	Rojola	Juho
71215	Rojola	Juho
71733	Rojola	Juho
74971	Häkkinen-Rojola	Juho
76212	Rojola	Juho
79318	Rojola	Juho
81227	Rojola	Juho
81975	Rojola	Juho
87081	Rojola	Juho
88357	Rojola	Juho
89019	Rojola	Juho
91841	Rojola	Juho
92299	Rojola	Juho
97570	Rojola	Juho
97630	Rojola	Juho
99720	Rojola	Juho
99753	Rojola	Juho
107288	Rojola-Uutela	Juho
110170	Rojola	Juho
111197	Rojola	Juho
111640	Wuotila-Rojola	Juho
114982	Rojola	Juho
115272	Rojola	Juho
115298	Rojola	Juho
115935	Rojola	Juho
117692	Rojola	Juho
123204	Rojola	Juho
124259	Mottisenkangas-Rojola	Juho
125850	Rojola	Juho
126623	Rojola	Juho
126819	Stepanov-Rojola	Juho
129695	Rojola	Juho
131459	Rojola	Juho
132236	Rojola	Juho
132745	Rojola	Juho
135215	Rojola	Juho
135299	Paavola-Rojola	Juho
135519	Rojola	Juho
136156	Rojola	Juho
136834	Rojola	Juho
136990	Rojola	Juho
137027	Rojola	Juho
146857	Rojola	Juho
149258	Rojola	Juho
149415	Rojola-Ruottinen	Juho
152450	Rojola	Juho
152539	Kohonen-Rojola	Juho
152750	Rojola	Juho
154835	Rojola	Juho
155465	Rojola	Juho
158957	Rojola	Juho
159208	Rojola	Juho
160085	Rojola-Kähkönen	Juho
163554	Rojola	Juho
164153	Rojola	Juho
164918	Vanninen-Rojola	Juho
168449	Rojola	Juho
172311	Rojola	Juho
173258	Rojola	Juho
174364	Rojola	Juho
175094	Rojola	Juho
175253	Rojola	Juho
176917	Rojola	Juho
177825	Rojola	Juho
178222	Rojola	Juho
179838	Rojola	Juho
180744	Rojola	Juho
182603	Rojola	Juho
183368	Rojola	Juho
184592	Mynttinen-Rojola	Juho
185206	Rojola	Juho
186419	Rojola	Juho
187117	Rojola	Juho
190421	Rojola	Juho
191298	Rojola	Juho
193437	Rojola	Juho
196979	Rojola	Juho
197621	Rojola	Juho
198720	Rojola	Juho
199632	Rojola	Juho
3	Rojola	Santtu
206	Rojola	Santtu
1179	Rojola-Heinonen	Santtu
1866	Rojola	Santtu
5376	Rojola	Santtu
5443	Rojola	Santtu
5607	Rojola	Santtu
6469	Rojola	Santtu
7294	Rojola	Santtu
9461	Rojola	Santtu
9671	Rojola	Santtu
10094	Rojola	Santtu
11413	Rojola	Santtu
11738	Rojola	Santtu
12244	Rojola	Santtu
13047	Rojola	Santtu
15476	Rojola	Santtu
18407	Rojola	Santtu
24044	Rojola	Santtu
24066	Rojola	Santtu
26509	Rojola-Auvinen	Santtu
28292	Rojola	Santtu
30320	Rojola	Santtu
32094	Rojola	Santtu
37119	Rojola	Santtu
39437	Rojola	Santtu
40270	Rojola	Santtu
40600	Rojola	Santtu
42541	Rojola	Santtu
43285	Rojola	Santtu
45918	Laitamo-Rojola	Santtu
46519	Rojola	Santtu
47522	Rojola	Santtu
48664	Rojola	Santtu
50163	Rojola	Santtu
51065	Rojola	Santtu
53432	Rojola	Santtu
55375	Rojola	Santtu
55736	Ollikainen-Rojola	Santtu
56196	Rojola	Santtu
61538	Rojola	Santtu
64254	Rojola	Santtu
66363	Rojola	Santtu
66979	Rojola-Rajala	Santtu
68219	Rojola	Santtu
71215	Rojola	Santtu
71733	Rojola	Santtu
74971	Häkkinen-Rojola	Santtu
76212	Rojola	Santtu
79318	Rojola	Santtu
81227	Rojola	Santtu
81975	Rojola	Santtu
87081	Rojola	Santtu
88357	Rojola	Santtu
89019	Rojola	Santtu
91841	Rojola	Santtu
92299	Rojola	Santtu
97570	Rojola	Santtu
97630	Rojola	Santtu
99720	Rojola	Santtu
99753	Rojola	Santtu
107288	Rojola-Uutela	Santtu
110170	Rojola	Santtu
111197	Rojola	Santtu
111640	Wuotila-Rojola	Santtu
114982	Rojola	Santtu
115272	Rojola	Santtu
115298	Rojola	Santtu
115935	Rojola	Santtu
117692	Rojola	Santtu
123204	Rojola	Santtu
124259	Mottisenkangas-Rojola	Santtu
125850	Rojola	Santtu
126623	Rojola	Santtu
126819	Stepanov-Rojola	Santtu
129695	Rojola	Santtu
131459	Rojola	Santtu
132236	Rojola	Santtu
132745	Rojola	Santtu
135215	Rojola	Santtu
135299	Paavola-Rojola	Santtu
135519	Rojola	Santtu
136156	Rojola	Santtu
136834	Rojola	Santtu
136990	Rojola	Santtu
137027	Rojola	Santtu
146857	Rojola	Santtu
149258	Rojola	Santtu
149415	Rojola-Ruottinen	Santtu
152450	Rojola	Santtu
152539	Kohonen-Rojola	Santtu
152750	Rojola	Santtu
154835	Rojola	Santtu
155465	Rojola	Santtu
158957	Rojola	Santtu
159208	Rojola	Santtu
160085	Rojola-Kähkönen	Santtu
163554	Rojola	Santtu
164153	Rojola	Santtu
164918	Vanninen-Rojola	Santtu
168449	Rojola	Santtu
172311	Rojola	Santtu
173258	Rojola	Santtu
174364	Rojola	Santtu
175094	Rojola	Santtu
175253	Rojola	Santtu
176917	Rojola	Santtu
177825	Rojola	Santtu
178222	Rojola	Santtu
179838	Rojola	Santtu
180744	Rojola	Santtu
182603	Rojola	Santtu
183368	Rojola	Santtu
184592	Mynttinen-Rojola	Santtu
185206	Rojola	Santtu
186419	Rojola	Santtu
187117	Rojola	Santtu
190421	Rojola	Santtu
191298	Rojola	Santtu
193437	Rojola	Santtu
196979	Rojola	Santtu
197621	Rojola	Santtu
198720	Rojola	Santtu
199632	Rojola	Santtu
3	Rojola	Jooseppi
206	Rojola	Jooseppi
1179	Rojola-Heinonen	Jooseppi
1866	Rojola	Jooseppi
5376	Rojola	Jooseppi
5443	Rojola	Jooseppi
5607	Rojola	Jooseppi
6469	Rojola	Jooseppi
7294	Rojola	Jooseppi
9461	Rojola	Jooseppi
9671	Rojola	Jooseppi
10094	Rojola	Jooseppi
11413	Rojola	Jooseppi
11738	Rojola	Jooseppi
12244	Rojola	Jooseppi
13047	Rojola	Jooseppi
15476	Rojola	Jooseppi
18407	Rojola	Jooseppi
24044	Rojola	Jooseppi
24066	Rojola	Jooseppi
26509	Rojola-Auvinen	Jooseppi
28292	Rojola	Jooseppi
30320	Rojola	Jooseppi
32094	Rojola	Jooseppi
37119	Rojola	Jooseppi
39437	Rojola	Jooseppi
40270	Rojola	Jooseppi
40600	Rojola	Jooseppi
42541	Rojola	Jooseppi
43285	Rojola	Jooseppi
45918	Laitamo-Rojola	Jooseppi
46519	Rojola	Jooseppi
47522	Rojola	Jooseppi
48664	Rojola	Jooseppi
50163	Rojola	Jooseppi
51065	Rojola	Jooseppi
53432	Rojola	Jooseppi
55375	Rojola	Jooseppi
55736	Ollikainen-Rojola	Jooseppi
56196	Rojola	Jooseppi
61538	Rojola	Jooseppi
64254	Rojola	Jooseppi
66363	Rojola	Jooseppi
66979	Rojola-Rajala	Jooseppi
68219	Rojola	Jooseppi
71215	Rojola	Jooseppi
71733	Rojola	Jooseppi
74971	Häkkinen-Rojola	Jooseppi
76212	Rojola	Jooseppi
79318	Rojola	Jooseppi
81227	Rojola	Jooseppi
81975	Rojola	Jooseppi
87081	Rojola	Jooseppi
88357	Rojola	Jooseppi
89019	Rojola	Jooseppi
91841	Rojola	Jooseppi
92299	Rojola	Jooseppi
97570	Rojola	Jooseppi
97630	Rojola	Jooseppi
99720	Rojola	Jooseppi
99753	Rojola	Jooseppi
107288	Rojola-Uutela	Jooseppi
110170	Rojola	Jooseppi
111197	Rojola	Jooseppi
111640	Wuotila-Rojola	Jooseppi
114982	Rojola	Jooseppi
115272	Rojola	Jooseppi
115298	Rojola	Jooseppi
115935	Rojola	Jooseppi
117692	Rojola	Jooseppi
123204	Rojola	Jooseppi
124259	Mottisenkangas-Rojola	Jooseppi
125850	Rojola	Jooseppi
126623	Rojola	Jooseppi
126819	Stepanov-Rojola	Jooseppi
129695	Rojola	Jooseppi
131459	Rojola	Jooseppi
132236	Rojola	Jooseppi
132745	Rojola	Jooseppi
135215	Rojola	Jooseppi
135299	Paavola-Rojola	Jooseppi
135519	Rojola	Jooseppi
136156	Rojola	Jooseppi
136834	Rojola	Jooseppi
136990	Rojola	Jooseppi
137027	Rojola	Jooseppi
146857	Rojola	Jooseppi
149258	Rojola	Jooseppi
149415	Rojola-Ruottinen	Jooseppi
152450	Rojola	Jooseppi
152539	Kohonen-Rojola	Jooseppi
152750	Rojola	Jooseppi
154835	Rojola	Jooseppi
155465	Rojola	Jooseppi
158957	Rojola	Jooseppi
159208	Rojola	Jooseppi
160085	Rojola-Kähkönen	Jooseppi
163554	Rojola	Jooseppi
164153	Rojola	Jooseppi
164918	Vanninen-Rojola	Jooseppi
168449	Rojola	Jooseppi
172311	Rojola	Jooseppi
173258	Rojola	Jooseppi
174364	Rojola	Jooseppi
175094	Rojola	Jooseppi
175253	Rojola	Jooseppi
176917	Rojola	Jooseppi
177825	Rojola	Jooseppi
178222	Rojola	Jooseppi
179838	Rojola	Jooseppi
180744	Rojola	Jooseppi
182603	Rojola	Jooseppi
183368	Rojola	Jooseppi
184592	Mynttinen-Rojola	Jooseppi
185206	Rojola	Jooseppi
186419	Rojola	Jooseppi
187117	Rojola	Jooseppi
190421	Rojola	Jooseppi
191298	Rojola	Jooseppi
193437	Rojola	Jooseppi
196979	Rojola	Jooseppi
197621	Rojola	Jooseppi
198720	Rojola	Jooseppi
199632	Rojola	Jooseppi
3	Rojola	Turo
206	Rojola	Turo
1179	Rojola-Heinonen	Turo
1866	Rojola	Turo
5376	Rojola	Turo
5443	Rojola	Turo
5607	Rojola	Turo
6469	Rojola	Turo
7294	Rojola	Turo
9461	Rojola	Turo
9671	Rojola	Turo
10094	Rojola	Turo
11413	Rojola	Turo
11738	Rojola	Turo
12244	Rojola	Turo
13047	Rojola	Turo
15476	Rojola	Turo
18407	Rojola	Turo
24044	Rojola	Turo
24066	Rojola	Turo
26509	Rojola-Auvinen	Turo
28292	Rojola	Turo
30320	Rojola	Turo
32094	Rojola	Turo
37119	Rojola	Turo
39437	Rojola	Turo
40270	Rojola	Turo
40600	Rojola	Turo
42541	Rojola	Turo
43285	Rojola	Turo
45918	Laitamo-Rojola	Turo
46519	Rojola	Turo
47522	Rojola	Turo
48664	Rojola	Turo
50163	Rojola	Turo
51065	Rojola	Turo
53432	Rojola	Turo
55375	Rojola	Turo
55736	Ollikainen-Rojola	Turo
56196	Rojola	Turo
61538	Rojola	Turo
64254	Rojola	Turo
66363	Rojola	Turo
66979	Rojola-Rajala	Turo
68219	Rojola	Turo
71215	Rojola	Turo
71733	Rojola	Turo
74971	Häkkinen-Rojola	Turo
76212	Rojola	Turo
79318	Rojola	Turo
81227	Rojola	Turo
81975	Rojola	Turo
87081	Rojola	Turo
88357	Rojola	Turo
89019	Rojola	Turo
91841	Rojola	Turo
92299	Rojola	Turo
97570	Rojola	Turo
97630	Rojola	Turo
99720	Rojola	Turo
99753	Rojola	Turo
107288	Rojola-Uutela	Turo
110170	Rojola	Turo
111197	Rojola	Turo
111640	Wuotila-Rojola	Turo
114982	Rojola	Turo
115272	Rojola	Turo
115298	Rojola	Turo
115935	Rojola	Turo
117692	Rojola	Turo
123204	Rojola	Turo
124259	Mottisenkangas-Rojola	Turo
125850	Rojola	Turo
126623	Rojola	Turo
126819	Stepanov-Rojola	Turo
129695	Rojola	Turo
131459	Rojola	Turo
132236	Rojola	Turo
132745	Rojola	Turo
135215	Rojola	Turo
135299	Paavola-Rojola	Turo
135519	Rojola	Turo
136156	Rojola	Turo
136834	Rojola	Turo
136990	Rojola	Turo
137027	Rojola	Turo
146857	Rojola	Turo
149258	Rojola	Turo
149415	Rojola-Ruottinen	Turo
152450	Rojola	Turo
152539	Kohonen-Rojola	Turo
152750	Rojola	Turo
154835	Rojola	Turo
155465	Rojola	Turo
158957	Rojola	Turo
159208	Rojola	Turo
160085	Rojola-Kähkönen	Turo
163554	Rojola	Turo
164153	Rojola	Turo
164918	Vanninen-Rojola	Turo
168449	Rojola	Turo
172311	Rojola	Turo
173258	Rojola	Turo
174364	Rojola	Turo
175094	Rojola	Turo
175253	Rojola	Turo
176917	Rojola	Turo
177825	Rojola	Turo
178222	Rojola	Turo
179838	Rojola	Turo
180744	Rojola	Turo
182603	Rojola	Turo
183368	Rojola	Turo
184592	Mynttinen-Rojola	Turo
185206	Rojola	Turo
186419	Rojola	Turo
187117	Rojola	Turo
190421	Rojola	Turo
191298	Rojola	Turo
193437	Rojola	Turo
196979	Rojola	Turo
197621	Rojola	Turo
198720	Rojola	Turo
199632	Rojola	Turo
3	Rojola	Arhippa
206	Rojola	Arhippa
1179	Rojola-Heinonen	Arhippa
1866	Rojola	Arhippa
5376	Rojola	Arhippa
5443	Rojola	Arhippa
5607	Rojola	Arhippa
6469	Rojola	Arhippa
7294	Rojola	Arhippa
9461	Rojola	Arhippa
9671	Rojola	Arhippa
10094	Rojola	Arhippa
11413	Rojola	Arhippa
11738	Rojola	Arhippa
12244	Rojola	Arhippa
13047	Rojola	Arhippa
15476	Rojola	Arhippa
18407	Rojola	Arhippa
24044	Rojola	Arhippa
24066	Rojola	Arhippa
26509	Rojola-Auvinen	Arhippa
28292	Rojola	Arhippa
30320	Rojola	Arhippa
32094	Rojola	Arhippa
37119	Rojola	Arhippa
39437	Rojola	Arhippa
40270	Rojola	Arhippa
40600	Rojola	Arhippa
42541	Rojola	Arhippa
43285	Rojola	Arhippa
45918	Laitamo-Rojola	Arhippa
46519	Rojola	Arhippa
47522	Rojola	Arhippa
48664	Rojola	Arhippa
50163	Rojola	Arhippa
51065	Rojola	Arhippa
53432	Rojola	Arhippa
55375	Rojola	Arhippa
55736	Ollikainen-Rojola	Arhippa
56196	Rojola	Arhippa
61538	Rojola	Arhippa
64254	Rojola	Arhippa
66363	Rojola	Arhippa
66979	Rojola-Rajala	Arhippa
68219	Rojola	Arhippa
71215	Rojola	Arhippa
71733	Rojola	Arhippa
74971	Häkkinen-Rojola	Arhippa
76212	Rojola	Arhippa
79318	Rojola	Arhippa
81227	Rojola	Arhippa
81975	Rojola	Arhippa
87081	Rojola	Arhippa
88357	Rojola	Arhippa
89019	Rojola	Arhippa
91841	Rojola	Arhippa
92299	Rojola	Arhippa
97570	Rojola	Arhippa
97630	Rojola	Arhippa
99720	Rojola	Arhippa
99753	Rojola	Arhippa
107288	Rojola-Uutela	Arhippa
110170	Rojola	Arhippa
111197	Rojola	Arhippa
111640	Wuotila-Rojola	Arhippa
114982	Rojola	Arhippa
115272	Rojola	Arhippa
115298	Rojola	Arhippa
115935	Rojola	Arhippa
117692	Rojola	Arhippa
123204	Rojola	Arhippa
124259	Mottisenkangas-Rojola	Arhippa
125850	Rojola	Arhippa
126623	Rojola	Arhippa
126819	Stepanov-Rojola	Arhippa
129695	Rojola	Arhippa
131459	Rojola	Arhippa
132236	Rojola	Arhippa
132745	Rojola	Arhippa
135215	Rojola	Arhippa
135299	Paavola-Rojola	Arhippa
135519	Rojola	Arhippa
136156	Rojola	Arhippa
136834	Rojola	Arhippa
136990	Rojola	Arhippa
137027	Rojola	Arhippa
146857	Rojola	Arhippa
149258	Rojola	Arhippa
149415	Rojola-Ruottinen	Arhippa
152450	Rojola	Arhippa
152539	Kohonen-Rojola	Arhippa
152750	Rojola	Arhippa
154835	Rojola	Arhippa
155465	Rojola	Arhippa
158957	Rojola	Arhippa
159208	Rojola	Arhippa
160085	Rojola-Kähkönen	Arhippa
163554	Rojola	Arhippa
164153	Rojola	Arhippa
164918	Vanninen-Rojola	Arhippa
168449	Rojola	Arhippa
172311	Rojola	Arhippa
173258	Rojola	Arhippa
174364	Rojola	Arhippa
175094	Rojola	Arhippa
175253	Rojola	Arhippa
176917	Rojola	Arhippa
177825	Rojola	Arhippa
178222	Rojola	Arhippa
179838	Rojola	Arhippa
180744	Rojola	Arhippa
182603	Rojola	Arhippa
183368	Rojola	Arhippa
184592	Mynttinen-Rojola	Arhippa
185206	Rojola	Arhippa
186419	Rojola	Arhippa
187117	Rojola	Arhippa
190421	Rojola	Arhippa
191298	Rojola	Arhippa
193437	Rojola	Arhippa
196979	Rojola	Arhippa
197621	Rojola	Arhippa
198720	Rojola	Arhippa
199632	Rojola	Arhippa
3	Rojola	Sylvester
206	Rojola	Sylvester
1179	Rojola-Heinonen	Sylvester
1866	Rojola	Sylvester
5376	Rojola	Sylvester
5443	Rojola	Sylvester
5607	Rojola	Sylvester
6469	Rojola	Sylvester
7294	Rojola	Sylvester
9461	Rojola	Sylvester
9671	Rojola	Sylvester
10094	Rojola	Sylvester
11413	Rojola	Sylvester
11738	Rojola	Sylvester
12244	Rojola	Sylvester
13047	Rojola	Sylvester
15476	Rojola	Sylvester
18407	Rojola	Sylvester
24044	Rojola	Sylvester
24066	Rojola	Sylvester
26509	Rojola-Auvinen	Sylvester
28292	Rojola	Sylvester
30320	Rojola	Sylvester
32094	Rojola	Sylvester
37119	Rojola	Sylvester
39437	Rojola	Sylvester
40270	Rojola	Sylvester
40600	Rojola	Sylvester
42541	Rojola	Sylvester
43285	Rojola	Sylvester
45918	Laitamo-Rojola	Sylvester
46519	Rojola	Sylvester
47522	Rojola	Sylvester
48664	Rojola	Sylvester
50163	Rojola	Sylvester
51065	Rojola	Sylvester
53432	Rojola	Sylvester
55375	Rojola	Sylvester
55736	Ollikainen-Rojola	Sylvester
56196	Rojola	Sylvester
61538	Rojola	Sylvester
64254	Rojola	Sylvester
66363	Rojola	Sylvester
66979	Rojola-Rajala	Sylvester
68219	Rojola	Sylvester
71215	Rojola	Sylvester
71733	Rojola	Sylvester
74971	Häkkinen-Rojola	Sylvester
76212	Rojola	Sylvester
79318	Rojola	Sylvester
81227	Rojola	Sylvester
81975	Rojola	Sylvester
87081	Rojola	Sylvester
88357	Rojola	Sylvester
89019	Rojola	Sylvester
91841	Rojola	Sylvester
92299	Rojola	Sylvester
97570	Rojola	Sylvester
97630	Rojola	Sylvester
99720	Rojola	Sylvester
99753	Rojola	Sylvester
107288	Rojola-Uutela	Sylvester
110170	Rojola	Sylvester
111197	Rojola	Sylvester
111640	Wuotila-Rojola	Sylvester
114982	Rojola	Sylvester
115272	Rojola	Sylvester
115298	Rojola	Sylvester
115935	Rojola	Sylvester
117692	Rojola	Sylvester
123204	Rojola	Sylvester
124259	Mottisenkangas-Rojola	Sylvester
125850	Rojola	Sylvester
126623	Rojola	Sylvester
126819	Stepanov-Rojola	Sylvester
129695	Rojola	Sylvester
131459	Rojola	Sylvester
132236	Rojola	Sylvester
132745	Rojola	Sylvester
135215	Rojola	Sylvester
135299	Paavola-Rojola	Sylvester
135519	Rojola	Sylvester
136156	Rojola	Sylvester
136834	Rojola	Sylvester
136990	Rojola	Sylvester
137027	Rojola	Sylvester
146857	Rojola	Sylvester
149258	Rojola	Sylvester
149415	Rojola-Ruottinen	Sylvester
152450	Rojola	Sylvester
152539	Kohonen-Rojola	Sylvester
152750	Rojola	Sylvester
154835	Rojola	Sylvester
155465	Rojola	Sylvester
158957	Rojola	Sylvester
159208	Rojola	Sylvester
160085	Rojola-Kähkönen	Sylvester
163554	Rojola	Sylvester
164153	Rojola	Sylvester
164918	Vanninen-Rojola	Sylvester
168449	Rojola	Sylvester
172311	Rojola	Sylvester
173258	Rojola	Sylvester
174364	Rojola	Sylvester
175094	Rojola	Sylvester
175253	Rojola	Sylvester
176917	Rojola	Sylvester
177825	Rojola	Sylvester
178222	Rojola	Sylvester
179838	Rojola	Sylvester
180744	Rojola	Sylvester
182603	Rojola	Sylvester
183368	Rojola	Sylvester
184592	Mynttinen-Rojola	Sylvester
185206	Rojola	Sylvester
186419	Rojola	Sylvester
187117	Rojola	Sylvester
190421	Rojola	Sylvester
191298	Rojola	Sylvester
193437	Rojola	Sylvester
196979	Rojola	Sylvester
197621	Rojola	Sylvester
198720	Rojola	Sylvester
199632	Rojola	Sylvester
3	Rojola	Irma
206	Rojola	Irma
1179	Rojola-Heinonen	Irma
1866	Rojola	Irma
5376	Rojola	Irma
5443	Rojola	Irma
5607	Rojola	Irma
6469	Rojola	Irma
7294	Rojola	Irma
9461	Rojola	Irma
9671	Rojola	Irma
10094	Rojola	Irma
11413	Rojola	Irma
11738	Rojola	Irma
12244	Rojola	Irma
13047	Rojola	Irma
15476	Rojola	Irma
18407	Rojola	Irma
24044	Rojola	Irma
24066	Rojola	Irma
26509	Rojola-Auvinen	Irma
28292	Rojola	Irma
30320	Rojola	Irma
32094	Rojola	Irma
37119	Rojola	Irma
39437	Rojola	Irma
40270	Rojola	Irma
40600	Rojola	Irma
42541	Rojola	Irma
43285	Rojola	Irma
45918	Laitamo-Rojola	Irma
46519	Rojola	Irma
47522	Rojola	Irma
48664	Rojola	Irma
50163	Rojola	Irma
51065	Rojola	Irma
53432	Rojola	Irma
55375	Rojola	Irma
55736	Ollikainen-Rojola	Irma
56196	Rojola	Irma
61538	Rojola	Irma
64254	Rojola	Irma
66363	Rojola	Irma
